Profile_ID,LIMIT_BAL,AGE,PAY_AMT1,EDUCATION,MARRIAGE,Default
1,0,0,1,1,0,1
2,0,0,0,1,1,0
3,1,0,0,1,0,0
4,0,0,1,1,1,0
5,1,0,0,0,0,0
6,1,0,1,0,1,0
7,0,1,1,1,0,1
8,0,1,1,0,1,1
9,1,0,1,0,1,0
10,0,1,1,1,0,0
11,0,0,1,1,1,0
12,0,0,0,1,0,0
13,1,1,1,1,0,0
14,1,1,1,1,0,1
15,1,1,0,1,0,0
16,0,0,1,0,1,0
17,1,1,0,0,1,0
18,0,1,1,1,0,0
19,0,1,1,0,1,1
20,1,1,1,0,0,0
21,1,0,1,0,1,0
22,0,1,1,1,1,1
23,0,1,1,1,0,0
24,0,0,1,0,1,0
25,1,1,1,1,1,0
26,1,1,0,1,0,0
27,1,1,1,0,1,0
28,0,0,0,1,1,0
29,1,0,1,0,0,1
30,1,1,0,1,1,0
31,1,1,0,1,0,0
32,0,1,0,1,0,0
33,0,1,0,0,0,1
34,0,1,0,0,0,1
35,1,1,0,1,0,0
36,1,1,0,0,1,0
37,1,0,1,0,1,0
38,0,0,0,0,1,1
39,1,0,0,0,1,0
40,1,1,0,0,0,1
41,1,1,1,0,1,0
42,1,1,1,1,0,0
43,0,1,1,1,1,0
44,0,1,0,1,0,0
45,0,0,1,0,1,0
46,0,1,1,1,0,1
47,1,1,0,0,0,1
48,1,1,1,1,1,0
49,1,0,0,1,1,0
50,0,1,0,1,0,0
51,1,1,1,1,1,0
52,0,0,0,1,0,0
53,1,1,1,0,1,0
54,0,1,0,1,0,0
