Profile_ID,SHAP_Score,SHAP+_Score,Q-SHAP+_Score
1,43.21,59.38,54.53
2,45.47,57.35,54.31
3,41.42,58.32,54.88
4,41.87,58.99,53.03
5,41.14,56.85,54.9
6,43.89,58.87,56.69
7,43.58,59.08,54.52
8,43.57,59.12,56.73
9,43.89,58.87,56.69
10,43.58,59.08,54.52
11,41.87,58.99,53.03
12,46.02,58.07,55.99
13,42.43,59.25,50.36
14,42.43,59.25,50.36
15,41.32,58.49,52.5
16,43.2,58.64,55.49
17,40.16,56.75,53.45
18,43.58,59.08,54.52
19,43.57,59.12,56.73
20,42.54,58.29,53.42
21,43.89,58.87,56.69
22,42.8,59.56,54.33
23,43.58,59.08,54.52
24,43.2,58.64,55.49
25,43.48,59.07,52.93
26,41.32,58.49,52.5
27,43.05,58.34,53.86
28,45.47,57.35,54.31
29,43.14,59.44,56.01
30,41.83,58.18,50.01
31,41.32,58.49,52.5
32,46.16,58.47,53.79
33,44.1,53.59,53.99
34,44.1,53.59,53.99
35,41.32,58.49,52.5
36,40.16,56.75,53.45
37,43.89,58.87,56.69
38,43.94,56.04,56.95
39,40.51,57.2,55.82
40,40.04,56.36,52.06
41,43.05,58.34,53.86
42,42.43,59.25,50.36
43,42.8,59.56,54.33
44,46.16,58.47,53.79
45,43.2,58.64,55.49
46,43.58,59.08,54.52
47,40.04,56.36,52.06
48,43.48,59.07,52.93
49,41.0,58.07,55.39
50,46.16,58.47,53.79
51,43.48,59.07,52.93
52,46.02,58.07,55.99
53,43.05,58.34,53.86
54,46.16,58.47,53.79
